timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671541901418,241,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-2,text,true,,610,136,5,35,http://172.25.5.28:8097/api/sports-fields,227,0,50
1671541901418,243,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-1,text,true,,610,136,5,35,http://172.25.5.28:8097/api/sports-fields,227,0,51
1671541901418,241,POST /users [Create User],201,,Create a user 1-2,text,true,,544,619,5,35,http://172.25.5.28:8097/api/users,227,0,50
1671541901418,241,POST /users [Create User],201,,Create a user 1-4,text,true,,544,619,5,35,http://172.25.5.28:8097/api/users,226,0,51
1671541901418,241,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-3,text,true,,610,136,5,35,http://172.25.5.28:8097/api/sports-fields,227,0,51
1671541901419,239,POST /users [Create User],201,,Create a user 1-3,text,true,,544,619,5,35,http://172.25.5.28:8097/api/users,236,0,50
1671541901419,239,POST /users [Create User],201,,Create a user 1-5,text,true,,544,619,5,35,http://172.25.5.28:8097/api/users,236,0,50
1671541901418,241,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-4,text,true,,610,136,5,35,http://172.25.5.28:8097/api/sports-fields,227,0,50
1671541901419,240,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-5,text,true,,610,136,5,35,http://172.25.5.28:8097/api/sports-fields,226,0,50
1671541901418,241,POST /users [Create User],201,,Create a user 1-1,text,true,,544,619,5,35,http://172.25.5.28:8097/api/users,227,0,50
1671541901688,23,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-1,text,true,,610,136,5,30,http://172.25.5.28:8097/api/sports-fields,23,0,7
1671541901688,23,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-5,text,true,,610,136,5,30,http://172.25.5.28:8097/api/sports-fields,23,0,7
1671541901689,26,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-2,text,true,,610,136,5,30,http://172.25.5.28:8097/api/sports-fields,26,0,6
1671541901689,26,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-4,text,true,,610,136,5,30,http://172.25.5.28:8097/api/sports-fields,26,0,6
1671541901689,26,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-3,text,true,,610,136,5,30,http://172.25.5.28:8097/api/sports-fields,26,0,6
1671541901712,16,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-5,text,true,,610,136,5,30,http://172.25.5.28:8097/api/sports-fields,16,0,3
1671541901711,17,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-1,text,true,,610,136,5,30,http://172.25.5.28:8097/api/sports-fields,17,0,4
1671541901716,20,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-2,text,true,,610,136,5,30,http://172.25.5.28:8097/api/sports-fields,20,0,4
