timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672143323438,406,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-3,text,true,,610,136,5,35,http://172.25.5.28:8083/api/sports-fields,388,0,298
1672143323446,397,POST /users [Create User],201,,Create a user 1-1,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,392,0,290
1672143323445,398,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-4,text,true,,610,136,5,35,http://172.25.5.28:8083/api/sports-fields,383,0,291
1672143323438,405,POST /users [Create User],201,,Create a user 1-2,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,388,0,298
1672143323445,398,POST /users [Create User],201,,Create a user 1-5,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,383,0,291
1672143323445,398,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-1,text,true,,610,136,5,35,http://172.25.5.28:8083/api/sports-fields,383,0,291
1672143323446,397,POST /users [Create User],201,,Create a user 1-4,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,382,0,290
1672143323438,405,POST /users [Create User],201,,Create a user 1-3,text,true,,544,619,2,32,http://172.25.5.28:8083/api/users,400,0,298
1672143323438,405,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-5,text,true,,610,136,5,32,http://172.25.5.28:8083/api/sports-fields,388,0,298
1672143323438,405,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-2,text,true,,610,136,5,35,http://172.25.5.28:8083/api/sports-fields,389,0,298
1672143323438,405,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-2,text,true,,544,619,5,32,http://172.25.5.28:8083/api/users,388,0,298
1672143323446,397,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-2,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,381,0,290
1672143323444,399,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-4,text,true,,544,619,5,32,http://172.25.5.28:8083/api/users,384,0,292
1672143323449,394,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-5,text,true,,603,140,5,32,http://172.25.5.28:8083/api/sports-facilities,377,0,288
1672143323438,405,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-4,text,true,,544,619,5,32,http://172.25.5.28:8083/api/users,400,0,298
1672143323446,397,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-4,text,true,,603,140,5,32,http://172.25.5.28:8083/api/sports-facilities,380,0,287
1672143323449,394,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-1,text,true,,603,140,5,32,http://172.25.5.28:8083/api/sports-facilities,377,0,283
1672143323438,405,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-3,text,true,,544,619,5,32,http://172.25.5.28:8083/api/users,400,0,298
1672143323445,398,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-4,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,381,0,291
1672143323446,397,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-2,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,380,0,290
1672143323445,398,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-3,text,true,,544,619,5,32,http://172.25.5.28:8083/api/users,393,0,288
1672143323449,394,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-3,text,true,,603,140,5,32,http://172.25.5.28:8083/api/sports-facilities,377,0,283
1672143323449,394,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-5,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,377,0,287
1672143323438,405,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-1,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,388,0,298
1672143323438,405,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-2,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,389,0,298
1672143323445,398,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-1,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,381,0,291
1672143323446,397,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-2,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,382,0,290
1672143323446,397,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-5,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,382,0,286
1672143323449,394,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-1,text,true,,603,140,5,32,http://172.25.5.28:8083/api/sports-facilities,391,0,288
1672143323449,394,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-1,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,379,0,287
1672143323438,405,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-5,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,388,0,298
1672143323438,405,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-3,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,388,0,298
1672143323438,405,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-5,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,390,0,294
1672143323446,397,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-4,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,382,0,290
1672143323438,406,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-3,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,389,0,298
1672143323951,171,GET /sports-facilities/sportsFacilityId/reservations-summaries [View User Rating],201,,jp@gc - View User Rating 6-1,text,true,,468,236,5,30,http://172.25.5.28:8083/api/sports-facilities/52/reservations-summaries?start_date=2022-11-23T08:31:23.641Z&end_date=2022-11-23T15:31:23.641Z,171,0,0
1672143323949,176,GET /sports-facilities/sportsFacilityId/reservations-summaries [View User Rating],201,,jp@gc - View User Rating 6-4,text,true,,468,236,5,30,http://172.25.5.28:8083/api/sports-facilities/52/reservations-summaries?start_date=2022-11-23T08:31:23.641Z&end_date=2022-11-23T15:31:23.641Z,176,0,0
1672143323949,177,GET /sports-facilities/sportsFacilityId/reservations-summaries [View User Rating],201,,jp@gc - View User Rating 6-3,text,true,,468,236,5,30,http://172.25.5.28:8083/api/sports-facilities/52/reservations-summaries?start_date=2022-11-23T08:31:23.641Z&end_date=2022-11-23T15:31:23.641Z,176,0,0
