timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672232942478,252,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-4,text,true,,610,136,5,35,http://172.25.5.28:8083/api/sports-fields,233,0,111
1672232942478,252,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-1,text,true,,610,136,5,35,http://172.25.5.28:8083/api/sports-fields,246,0,112
1672232942484,246,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-3,text,true,,610,136,5,35,http://172.25.5.28:8083/api/sports-fields,227,0,106
1672232942478,252,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-5,text,true,,610,136,5,35,http://172.25.5.28:8083/api/sports-fields,231,0,112
1672232942479,250,POST /users [Create User],201,,Create a user 1-1,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,231,0,111
1672232942478,251,POST /users [Create User],201,,Create a user 1-5,text,true,,544,619,5,34,http://172.25.5.28:8083/api/users,244,0,112
1672232942484,247,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-2,text,true,,610,136,5,35,http://172.25.5.28:8083/api/sports-fields,241,0,106
1672232942485,245,POST /users [Create User],201,,Create a user 1-3,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,239,0,105
1672232942477,253,POST /users [Create User],201,,Create a user 1-4,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,247,0,113
1672232942478,252,POST /users [Create User],201,,Create a user 1-2,text,true,,544,619,1,31,http://172.25.5.28:8083/api/users,246,0,112
1672232942479,251,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-3,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,245,0,111
1672232942478,252,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-2,text,true,,544,619,5,30,http://172.25.5.28:8083/api/users,246,0,112
1672232942487,243,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-1,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,222,0,103
1672232942487,242,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-4,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,235,0,103
1672232942485,244,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-2,text,true,,603,140,5,34,http://172.25.5.28:8083/api/sports-facilities,240,0,105
1672232942485,245,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-3,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,224,0,105
1672232942485,245,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-5,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,226,0,105
1672232942485,245,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-4,text,true,,603,140,5,30,http://172.25.5.28:8083/api/sports-facilities,239,0,105
1672232942484,246,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-3,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,225,0,106
1672232942485,246,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-1,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,240,0,105
1672232942484,246,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-5,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,240,0,105
1672232942479,251,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-2,text,true,,544,619,5,32,http://172.25.5.28:8083/api/users,230,0,111
1672232942484,245,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-3,text,true,,603,140,5,33,http://172.25.5.28:8083/api/sports-facilities,226,0,106
1672232942485,245,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-5,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,224,0,105
1672232942484,245,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-4,text,true,,603,140,5,34,http://172.25.5.28:8083/api/sports-facilities,226,0,106
1672232942481,248,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-3,text,true,,544,619,5,33,http://172.25.5.28:8083/api/users,241,0,109
1672232942477,253,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-2,text,true,,603,140,5,35,http://172.25.5.28:8083/api/sports-facilities,233,0,113
1672232942485,245,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-2,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,239,0,105
1672232942485,245,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-5,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,239,0,104
1672232942485,244,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-1,text,true,,544,619,5,34,http://172.25.5.28:8083/api/users,225,0,104
1672232942484,245,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-5,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,226,0,106
1672232942484,245,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-1,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,239,0,106
1672232942477,252,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-1,text,true,,544,619,5,33,http://172.25.5.28:8083/api/users,245,0,113
1672232942487,242,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-4,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,224,0,103
1672232942479,251,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-4,text,true,,544,619,5,35,http://172.25.5.28:8083/api/users,230,0,111
1672232942757,89,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-3,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,89,0,41
1672232942757,89,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-4,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,89,0,41
1672232942757,89,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-5,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,89,0,41
1672232942757,89,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-2,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,89,0,41
1672232942757,89,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-1,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,89,0,41
1672232942813,46,GET /sports-fields [Accept Reservation],200,,jp@gc - Accept Reservation for a Sports Field 3-3,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,46,0,0
1672232942815,49,GET /sports-facilities/sportsFacilityId/reservations-summaries [View User Rating],201,,jp@gc - View User Rating 6-5,text,true,,468,236,5,30,http://172.25.5.28:8083/api/sports-facilities/52/reservations-summaries?start_date=2022-11-23T08:31:23.641Z&end_date=2022-11-23T15:31:23.641Z,48,0,0
1672232942813,51,GET /sports-facilities/sportsFacilityId/reservations-summaries [View User Rating],201,,jp@gc - View User Rating 6-1,text,true,,468,236,5,30,http://172.25.5.28:8083/api/sports-facilities/52/reservations-summaries?start_date=2022-11-23T08:31:23.641Z&end_date=2022-11-23T15:31:23.641Z,51,0,0
1672232942813,51,GET /sports-facilities/sportsFacilityId/reservations-summaries [View User Rating],201,,jp@gc - View User Rating 6-4,text,true,,467,236,5,30,http://172.25.5.28:8083/api/sports-facilities/52/reservations-summaries?start_date=2022-11-23T08:31:23.641Z&end_date=2022-11-23T15:31:23.641Z,50,0,0
1672232942813,51,GET /sports-facilities/sportsFacilityId/reservations-summaries [View User Rating],201,,jp@gc - View User Rating 6-3,text,true,,467,236,5,30,http://172.25.5.28:8083/api/sports-facilities/52/reservations-summaries?start_date=2022-11-23T08:31:23.641Z&end_date=2022-11-23T15:31:23.641Z,50,0,0
1672232942812,52,GET /sports-fields [Accept Reservation],200,,jp@gc - Accept Reservation for a Sports Field 3-5,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,52,0,0
1672232942816,53,GET /sports-facilities/sportsFacilityId/reservations-summaries [View User Rating],201,,jp@gc - View User Rating 6-2,text,true,,468,236,5,30,http://172.25.5.28:8083/api/sports-facilities/52/reservations-summaries?start_date=2022-11-23T08:31:23.641Z&end_date=2022-11-23T15:31:23.641Z,52,0,0
1672232942814,59,POST /sports-facilities/sportsFacilityId/sports-fields [Create Sports Field],201,,jp@gc - Create Sports Field 2-1,text,true,,326,350,5,30,http://172.25.5.28:8083/api/sports-facilities/52/sports-fields,59,0,0
1672232942816,57,POST /sports-facilities/sportsFacilityId/sports-fields [Create Sports Field],201,,jp@gc - Create Sports Field 2-4,text,true,,326,350,5,30,http://172.25.5.28:8083/api/sports-facilities/52/sports-fields,57,0,0
1672232942812,61,GET /sports-fields [Accept Reservation],200,,jp@gc - Accept Reservation for a Sports Field 3-2,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,61,0,0
1672232942816,57,GET /sports-fields [Evaluate Sports Experience],200,,jp@gc - Evaluate Sports Experience 7-5,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,57,0,0
1672232942816,58,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-5,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,58,0,0
1672232942813,61,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-4,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,61,0,0
1672232942817,57,GET /sports-fields [Evaluate Sports Experience],200,,jp@gc - Evaluate Sports Experience 7-3,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,57,0,0
1672232942816,58,GET /sports-fields [Evaluate Sports Experience],200,,jp@gc - Evaluate Sports Experience 7-2,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,58,0,0
1672232942816,57,GET /sports-fields [Evaluate Sports Experience],200,,jp@gc - Evaluate Sports Experience 7-1,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,57,0,0
1672232942814,61,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-3,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,61,0,0
1672232942814,61,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-2,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,61,0,0
1672232942816,60,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-1,text,true,,610,136,5,30,http://172.25.5.28:8083/api/sports-fields,60,0,0
1672232942814,62,POST /sports-facilities/sportsFacilityId/sports-fields [Create Sports Field],201,,jp@gc - Create Sports Field 2-3,text,true,,326,350,5,30,http://172.25.5.28:8083/api/sports-facilities/52/sports-fields,62,0,0
1672232942813,64,POST /sports-facilities/sportsFacilityId/sports-fields [Create Sports Field],201,,jp@gc - Create Sports Field 2-2,text,true,,326,350,5,30,http://172.25.5.28:8083/api/sports-facilities/52/sports-fields,64,0,0
1672232942814,63,POST /sports-facilities/sportsFacilityId/sports-fields [Create Sports Field],201,,jp@gc - Create Sports Field 2-5,text,true,,326,350,5,30,http://172.25.5.28:8083/api/sports-facilities/52/sports-fields,63,0,0
