timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671540552278,294,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-1,text,true,,618,136,5,35,http://172.25.5.28:8091/api/sports-fields,286,0,43
1671540552276,296,POST /users [Create User],201,,Create a user 1-2,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,45
1671540552276,297,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-5,text,true,,618,136,5,35,http://172.25.5.28:8091/api/sports-fields,288,0,45
1671540552276,296,POST /users [Create User],201,,Create a user 1-1,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,45
1671540552278,294,POST /users [Create User],201,,Create a user 1-5,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,289,0,43
1671540552276,296,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-4,text,true,,618,136,5,35,http://172.25.5.28:8091/api/sports-fields,288,0,46
1671540552276,296,POST /users [Create User],201,,Create a user 1-4,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,46
1671540552277,301,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-3,text,true,,618,136,5,35,http://172.25.5.28:8091/api/sports-fields,287,0,44
1671540552278,296,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-2,text,true,,618,136,5,35,http://172.25.5.28:8091/api/sports-fields,287,0,44
1671540552276,297,POST /users [Create User],201,,Create a user 1-3,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,46
1671540552592,48,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-2,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,48,0,8
1671540552593,47,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-5,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,47,0,7
1671540552276,296,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-4,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,291,0,46
1671540552277,295,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-1,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,287,0,45
1671540552277,295,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-5,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,287,0,45
1671540552276,297,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-5,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,46
1671540552277,295,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-4,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,45
1671540552277,295,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-2,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,290,0,45
1671540552276,297,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-4,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,291,0,46
1671540552276,297,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-3,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,289,0,46
1671540552276,297,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-1,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,291,0,46
1671540552276,296,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-4,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,288,0,45
1671540552276,296,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-1,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,46
1671540552277,296,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-2,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,287,0,45
1671540552276,297,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-5,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,291,0,46
1671540552276,296,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-4,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,46
1671540552276,296,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-5,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,289,0,46
1671540552276,297,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-2,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,289,0,45
1671540552276,296,POST /users [Create User],201,,jp@gc - Accept Reservation for a Sports Field 3-5,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,46
1671540552276,296,POST /users [Create User],201,,jp@gc - Request a Reservation for a Sports Field 5-3,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,289,0,46
1671540552277,296,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-3,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,288,0,45
1671540552277,295,POST /users [Create User],201,,jp@gc - Evaluate Sports Experience 7-2,text,true,,545,619,5,35,http://172.25.5.28:8091/api/users,290,0,45
1671540552278,295,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-1,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,289,0,44
1671540552276,296,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-3,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,288,0,45
1671540552277,295,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-2,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,287,0,45
1671540552276,298,GET /sports-facilities [Create Sports Field],200,,jp@gc - Create Sports Field 2-1,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,291,0,46
1671540552277,296,GET /sports-facilities [View User Rating],200,,jp@gc - View User Rating 6-3,text,true,,613,140,5,35,http://172.25.5.28:8091/api/sports-facilities,288,0,45
1671540552593,59,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-1,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,51,0,7
1671540552593,60,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-3,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,47,0,7
1671540552593,60,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-4,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,47,0,7
1671540552651,33,GET /sports-fields [Evaluate Sports Experience],200,,jp@gc - Evaluate Sports Experience 7-2,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,33,0,0
1671540552650,34,GET /sports-fields [Evaluate Sports Experience],200,,jp@gc - Evaluate Sports Experience 7-5,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,34,0,0
1671540552648,36,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-1,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,36,0,0
1671540552650,34,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-4,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,34,0,0
1671540552641,48,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-5,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,48,0,13
1671540552648,41,GET /sports-fields [Accept Reservation],200,,jp@gc - Accept Reservation for a Sports Field 3-2,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,41,0,0
1671540552648,41,GET /sports-fields [Accept Reservation],200,,jp@gc - Accept Reservation for a Sports Field 3-4,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,41,0,0
1671540552649,40,GET /sports-fields [Accept Reservation],200,,jp@gc - Accept Reservation for a Sports Field 3-3,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,40,0,0
1671540552650,39,GET /sports-fields [Accept Reservation],200,,jp@gc - Accept Reservation for a Sports Field 3-1,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,39,0,0
1671540552651,43,GET /sports-fields [Accept Reservation],200,,jp@gc - Accept Reservation for a Sports Field 3-5,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,43,0,0
1671540552649,49,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-2,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,49,0,0
1671540552651,47,GET /sports-fields [Evaluate Sports Experience],200,,jp@gc - Evaluate Sports Experience 7-3,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,47,0,0
1671540552648,50,GET /sports-fields [Evaluate Sports Experience],200,,jp@gc - Evaluate Sports Experience 7-4,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,50,0,0
1671540552648,50,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-5,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,50,0,0
1671540552641,61,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-2,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,57,0,11
1671540552653,50,GET /sports-fields [Available Sports Fields],200,,jp@gc - Get a list of Available Sports Fields 4-1,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,49,0,4
1671540552651,51,GET /sports-fields [Request a Reservation],200,,jp@gc - Request a Reservation for a Sports Field 5-3,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,51,0,0
1671540552649,54,GET /sports-fields [Evaluate Sports Experience],200,,jp@gc - Evaluate Sports Experience 7-1,text,true,,618,136,5,30,http://172.25.5.28:8091/api/sports-fields,53,0,0
